seg,power,vo2,cad,la,rf,hr,sat
1090,220,3152.5,94,3.8133,25.31,162.3,97
1091,220,3117.2,95,3.8137,24.691,172.0,97
1092,220,3090.8,93,3.814,24.951,172.0,97
1093,220,3064.4,93,3.8143,25.21,172.0,96
1094,220,3028.3,94,3.8147,25.071,173.3,96
1095,220,2992.2,94,3.815,24.932,174.7,96
1096,220,2956.1,94,3.8153,24.793,176.0,96
1097,220,2853.3,94,3.8157,26.35,162.0,95
1098,220,2750.5,92,3.816,27.907,148.0,95
1099,220,2720.6,92,3.8163,29.105,148.0,96
1100,220,2690.7,93,3.8167,30.303,148.0,96
1101,220,2359,94,3.817,25.678,147.5,96
1102,220,2027.2,95,3.8173,21.053,147.0,96
1103,220,2587.3,93,3.8177,22.474,146.3,96
1104,220,3147.4,93,3.818,23.895,145.7,96
1105,220,3707.5,93,3.8183,25.316,145.0,96
1106,220,3649.6,93,3.8187,24.706,144.5,96
1107,220,3591.7,92,3.819,24.096,144.0,96
1108,220,3639.7,91,3.8193,24.953,141.7,96
1109,220,3687.6,90,3.8197,25.81,139.3,96
1110,220,3735.5,90,3.82,26.667,137.0,96
1111,220,3281.4,92,3.8203,24.403,137.0,96
1112,220,2827.3,93,3.8207,22.14,137.0,96
1113,220,2900.4,93,3.821,25.221,141.0,96
1114,220,2973.4,92,3.8213,28.302,145.0,96
1115,220,3020.8,92,3.8217,28.17,147.0,97
1116,220,3068.2,91,3.822,28.039,149.0,97
1117,220,3115.5,92,3.8223,27.907,151.0,97
1118,220,2901.5,93,3.8227,29.105,150.5,97
1119,220,2687.4,93,3.823,30.303,150.0,97
1120,220,3277.6,93,3.8233,34.884,151.0,97
1121,220,3460,92,3.8237,35.847,151.0,97
1122,220,3642.4,90,3.824,36.81,151.0,97
1123,220,3376.2,91,3.8243,33.33,150.0,97
1124,220,3110,93,3.8247,29.851,149.0,97
1125,220,3062.3,92,3.825,26.458,148.3,97
1126,220,3014.7,91,3.8253,23.065,147.7,97
1127,220,2967.1,91,3.8257,19.672,147.0,97
1128,220,3268.7,90,3.826,22.657,147.5,97
1129,220,3570.3,89,3.8263,25.641,148.0,97
1130,220,3416.3,88,3.8267,27.972,146.0,97
1131,220,3262.4,87,3.827,30.303,144.0,97
1132,220,3330.3,87,3.8273,29.236,145.5,97
1133,230,3398.2,88,3.8277,28.169,147.0,97
1134,250,3290.5,86,3.828,27.437,146.3,97
1135,260,3182.9,84,3.8283,26.706,145.7,98
1136,260,3075.2,85,3.8287,25.974,145.0,97
1137,260,3089.3,87,3.829,25.539,146.0,97
1138,260,3103.4,86,3.8293,25.105,147.0,97
1139,260,2928.8,87,3.8297,28.259,147.0,97
1140,260,2754.2,88,3.83,31.414,147.0,97
1141,260,2832.7,88,3.8477,31.836,147.5,98
1142,260,2911.2,89,3.8653,32.258,148.0,98
1143,260,3096,90,3.883,31.054,148.5,98
1144,260,3280.8,91,3.9007,29.851,149.0,97
1145,260,3295.4,91,3.9183,30.001,149.5,98
1146,260,3310,90,3.936,30.151,150.0,98
1147,260,2946.1,89,3.9537,31.835,148.5,98
1148,260,2582.1,90,3.9713,33.52,147.0,98
1149,260,3727.4,91,3.989,35.503,149.0,98
1150,260,3508.7,91,4.0067,32.479,149.3,98
1151,260,3290,93,4.0243,29.455,149.7,98
1152,260,3071.2,95,4.042,26.432,150.0,98
1153,260,3187.4,95,4.0597,27.041,150.0,98
1154,260,3303.5,93,4.0773,27.65,150.0,98
1155,260,3485.9,92,4.095,29.45,150.0,98
1156,260,3668.3,93,4.1127,31.25,150.0,98
1157,260,3521.8,93,4.1303,30.853,150.0,98
1158,260,3375.3,92,4.148,30.457,150.0,98
1159,260,2674.7,91,4.1657,27.181,150.5,98
1160,260,1974,92,4.1833,23.904,151.0,98
1161,260,2708,94,4.201,26.375,150.5,98
1162,260,3442,93,4.2187,28.846,150.0,97
1163,260,3343.4,91,4.2363,28.508,150.5,97
1164,260,3244.8,90,4.254,28.169,151.0,97
1165,260,3240.2,91,4.2717,27.629,151.3,97
1166,260,3235.5,90,4.2893,27.089,151.7,97
1167,260,3230.9,89,4.307,26.549,152.0,97
1168,260,3246.7,89,4.3247,24.427,153.5,97
1169,260,3262.5,90,4.3423,22.305,155.0,97
1170,260,3151.4,92,4.36,23.798,154.0,97
1171,260,3040.2,95,4.3777,25.292,153.0,97
1172,260,2929,97,4.3953,26.786,152.0,97
1173,260,2966.8,97,4.413,27.477,152.0,97
1174,260,3004.5,95,4.4307,28.169,152.0,97
1175,260,2960,95,4.4483,28.235,152.0,97
1176,260,2915.5,95,4.466,28.302,152.0,97
